numberofprocesses,size,zeros,multiplications,CSR construction,Broadcast time,Compute time (CSR),Total time (CSR),Total time (Dense)
12,1000,80,10,0.009221,0.173753,0.056437,0.239413,0.012208
12,1000,80,15,0.009148,0.171143,0.071626,0.251918,0.022587
12,10000,20,5,1.236182,15.769360,0.180541,17.186092,0.154235
12,10000,20,10,1.282046,15.616234,0.350704,17.248993,0.305313
12,10000,20,15,1.272713,14.433403,0.520839,16.226972,0.454805
12,10000,40,5,1.610751,12.905393,0.155005,14.671160,0.166859
12,10000,40,10,1.739405,12.819020,0.283596,14.842031,0.304082
12,10000,40,15,1.625402,12.523395,0.419254,14.568061,0.460407
12,10000,60,5,1.560232,9.655547,0.117211,11.333003,0.153155
12,10000,60,10,1.530038,10.907648,0.221484,12.659179,0.307494
12,10000,60,15,1.556893,9.372497,0.323872,11.253272,0.457376
12,10000,80,5,0.916424,7.696960,0.083092,8.696489,0.149867
12,10000,80,10,0.929505,6.936618,0.149247,8.015392,0.298217
12,10000,80,15,0.930968,8.570365,0.226721,9.728062,0.453292
22,10,20,5,0.000006,0.011070,0.023757,0.034833,0.001851
22,10,20,10,0.000028,0.012123,0.023096,0.035249,0.003827
22,10,20,15,0.000006,0.010839,0.025810,0.036656,0.005152
22,10,40,5,0.000007,0.011546,0.013499,0.025053,0.002177
22,10,40,10,0.000007,0.011389,0.024122,0.035518,0.003566
22,10,40,15,0.000007,0.011048,0.026086,0.037141,0.005445
22,10,60,5,0.000007,0.011585,0.013289,0.024882,0.001867
22,10,60,10,0.000004,0.011218,0.015049,0.026271,0.003928
22,10,60,15,0.000007,0.011361,0.026090,0.037458,0.005381
22,10,80,5,0.000005,0.011271,0.022349,0.033627,0.002048
22,10,80,10,0.000006,0.011188,0.023773,0.034967,0.003649
22,10,80,15,0.000006,0.011333,0.017846,0.029186,0.005565
22,100,20,5,0.000481,0.021162,0.011302,0.032946,0.002508
22,100,20,10,0.000465,0.019767,0.170941,0.191174,0.005194
22,100,20,15,0.000468,0.021376,0.024241,0.046087,0.012001
22,100,40,5,0.000621,0.021966,0.075920,0.098508,0.033894
22,100,40,10,0.000629,0.018647,0.017488,0.036766,0.005248
22,100,40,15,0.000614,0.019458,0.019810,0.039882,0.007687
22,100,60,5,0.000590,0.021691,0.005831,0.028113,0.002709
22,100,60,10,0.000601,0.021326,0.015374,0.037326,0.005413
