numberofprocesses|gradenumber|Broadcast time|Compute time|Reduce Time|Total time
2|10|0.000022|0.000001|0.000020|0.000043
2|100|0.000248|0.000032|0.000019|0.000298
2|1000|0.000365|0.002864|0.000060|0.003266
2|10000|0.000183|0.279963|0.005668|0.280314
2|100000|0.000568|28.481318|0.598926|28.482916
12|10|0.010974|0.000003|0.010782|0.021756
12|100|0.020231|0.000025|0.011660|0.031899
12|1000|0.080445|0.000525|0.001531|0.082359
12|10000|0.021662|0.059907|0.040208|0.098931
12|100000|0.065176|5.332040|1.679342|5.418139
22|10|0.020404|0.000002|0.021781|0.042186
22|100|0.068004|0.000004|0.000319|0.068326
22|1000|0.044413|0.000362|0.006140|0.050785
22|10000|0.021953|0.033490|0.030629|0.073565
22|100000|0.083157|3.012978|1.589817|3.688852
32|10|0.011190|0.000001|0.112279|0.123470
32|100|0.011261|0.000040|0.156042|0.167306
32|1000|0.020365|0.000583|0.737121|0.757657
32|10000|0.030406|0.084737|4.104083|4.148000
32|100000|0.028157|2.519956|4.969086|6.332941
42|10|0.010522|0.000027|0.037875|0.048408
42|100|0.020494|0.000010|0.123368|0.143863
42|1000|0.020416|0.000423|0.647863|0.668407
42|10000|0.020508|0.046410|2.499268|2.530018
42|100000|0.082600|4.919887|9.732184|10.827214
52|10|0.020560|0.000015|0.134228|0.154789
52|100|0.010726|0.000014|0.143295|0.154029
52|1000|0.012033|0.000365|0.405857|0.417996
52|10000|0.020354|0.045170|4.050977|4.080311
52|100000|0.025077|5.087231|9.899157|10.740464
